inci_name,id,potency_tier,time_of_day,barrier_tax_score,sun_sensitivity
menthyl lactate,542,1,ANY,0,False
lactobacilluscapsicum frutescens fruit ferment extract,543,1,ANY,0,False
vaccinium myrtillus fruit extract,544,1,ANY,0,False
citrus aurantium dulcis orange fruit extract,546,1,ANY,0,True
acer saccharum sugar maple extract,547,1,ANY,0,False
tartaric acid dl-,548,1,ANY,0,True
vaccinium angustifolium blueberry fruit extract,549,1,ANY,0,False
citrus aurantium dulcis orange peel extract,550,1,ANY,0,True
vanilla planifolia fruit extract,551,1,ANY,0,False
rosa damascena extract,552,1,ANY,0,False
rubus idaeus raspberry fruit extract,553,1,ANY,0,False
citrus aurantium amara bitter orange leaftwig extract,555,1,ANY,0,True
cinnamomum camphora linalooliferum wood extract,556,1,ANY,0,False
alcohol,557,1,ANY,0,False
vitis vinifera grape fruit cell extract,558,1,ANY,0,False
isomalt,559,1,ANY,0,False
vaccinium corymbosum blueberry seed powder,560,1,ANY,0,False
urtica dioica nettle extract,561,1,ANY,0,False
nephelium lappaceum leaf extract,562,1,ANY,0,False
superoxide dismutase,563,1,ANY,0,False
sodium levulinate,564,1,ANY,0,False
lysolecithin,565,1,ANY,0,False
sclerotium gum,566,1,ANY,0,False
curcuma longa turmeric root oil,567,1,ANY,0,False
tocopherol mixed,568,1,ANY,0,False
arctostaphylos uva-ursi bearberry extract,569,1,ANY,0,False
taraxacum officinalis wild dandelion extract,570,1,ANY,0,False
prunus virginiana chokecherry extract,571,1,ANY,0,False
salix alba white willow extract,572,1,ANY,0,False
lactobacilluspunica granatum fruit ferment extract,573,1,ANY,0,False
euphrasia officinalis extract,574,1,ANY,0,False
cetearyl glucoside,575,1,ANY,0,False
cetyl hydroxyethylcellulose,576,1,ANY,0,False
kappaphycus alvarezii extract,577,1,ANY,0,False
caesalpinia spinosa fruit extract,578,1,ANY,0,False
caesalpinia sappan bark extract,579,1,ANY,0,False
arctostaphylos uva ursi bearberry leaf extract,580,1,ANY,0,False
barago officinalis borage flower extract,581,1,ANY,0,False
cetearyl olivate,583,1,ANY,0,False
sorbitan olivate,584,1,ANY,0,False
theobroma cacao cocoa seed butter,585,1,ANY,0,False
jojoba esters,586,1,ANY,0,False
amelanchier alnifolia fruit extract juneberry,587,1,ANY,0,False
sodium lauroyl sarcosinate,588,1,ANY,0,False
acacia senegal gum,589,1,ANY,0,False
tremella fuciformis polysaccharide,590,1,ANY,0,False
menthol,591,1,ANY,0,False
pistacia lentiscus mastic gum,592,1,ANY,0,False
hydrogenated lecithin,593,1,ANY,0,False
hydrogenated ethylhexyl olivate,594,1,ANY,0,False
magnesium ascorbyl phosphate,595,1,ANY,0,False
phyllanthus emblica fruit extract,596,1,ANY,0,False
sesamum indicum sesame seed oil,597,1,ANY,0,False
hydrogenated olive oil unsaponifiables,598,1,ANY,0,False
vitis vinifera grape seed oil,599,1,ANY,0,False
cannabis sativa seed oil,600,1,ANY,0,False
rosa canina fruit oil,601,1,ANY,0,False
avena sativa oat bran extract,602,1,ANY,0,False
arnica cordifolio arnica flower extract,603,1,ANY,0,False
matricaria discoidea chamomile flower extract,604,1,ANY,0,False
lomatium dissectum root extract,605,1,ANY,0,False
citrus aurantium dulcis orange peel oil,606,1,ANY,0,True
jasminum officinale jasmine oil,607,1,ANY,0,False
citral,608,1,ANY,0,False
eugenol,609,1,ANY,0,False
hamamelis virginiana witch hazel l methyl cocoyl taurate,610,1,ANY,0,False
lactobacilluspunica granatum pomegranate fruit ferment extract,611,1,ANY,0,False
polyacrylate-33,612,1,ANY,0,False
sodium cocoyl apple amino acids,613,1,ANY,0,False
tromethamine,614,1,ANY,0,False
carica papaya papaya fruit extract,615,1,ANY,0,False
zinc oxide,616,2,AM,0,False
dehydroacetic acid dha,617,1,ANY,0,False
